dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
javax.servlet:javax.servlet-api,org.codehaus.jackson:jackson-mapper-asl,60,491,154,0.12,0.39,0.39
javax.validation:validation-api,org.apache.derby:derby,14,197,102,0.07,0.14,0.14
javax.validation:validation-api,org.apache.logging.log4j:log4j-slf4j-impl,24,197,242,0.12,0.1,0.12
org.codehaus.plexus:plexus-utils,org.hibernate:hibernate-validator,13,144,148,0.09,0.09,0.09
org.codehaus.plexus:plexus-utils,org.mockito:mockito-core,65,144,916,0.45,0.07,0.45
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.hamcrest:hamcrest-all,19,110,237,0.17,0.08,0.17
org.apache.ant:ant,org.apache.curator:curator-framework,7,152,121,0.05,0.06,0.06
org.antlr:antlr4-runtime,org.apache.maven:maven-core,14,109,193,0.13,0.07,0.13
org.hamcrest:hamcrest-core,org.scala-lang:scala-library,21,216,173,0.1,0.12,0.12
com.fasterxml.jackson.core:jackson-core,com.h2database:h2,112,532,360,0.21,0.31,0.31
com.fasterxml.jackson.core:jackson-core,org.apache.lucene:lucene-analyzers-common,43,532,109,0.08,0.39,0.39
com.fasterxml.jackson.core:jackson-core,org.codehaus.plexus:plexus-utils,41,532,144,0.08,0.28,0.28
com.fasterxml.jackson.core:jackson-core,org.reflections:reflections,74,532,173,0.14,0.43,0.43
org.apache.logging.log4j:log4j-slf4j-impl,org.codehaus.groovy:groovy-all,11,242,117,0.05,0.09,0.09
org.apache.logging.log4j:log4j-slf4j-impl,org.postgresql:postgresql,46,242,245,0.19,0.19,0.19
com.google.inject:guice,org.slf4j:slf4j-jdk14,8,192,107,0.04,0.07,0.07
com.google.inject:guice,org.springframework:spring-core,27,192,339,0.14,0.08,0.14
org.springframework.boot:spring-boot-starter-test,org.springframework:spring-jdbc,24,128,219,0.19,0.11,0.19
org.junit.jupiter:junit-jupiter-api,org.openjdk.jmh:jmh-generator-annprocess,38,286,201,0.13,0.19,0.19
com.googlecode.json-simple:json-simple,org.apache.logging.log4j:log4j-slf4j-impl,16,154,242,0.1,0.07,0.1
jakarta.xml.bind:jakarta.xml.bind-api,org.apache.kafka:kafka-clients,16,114,162,0.14,0.1,0.14
commons-codec:commons-codec,joda-time:joda-time,166,596,380,0.28,0.44,0.44
mysql:mysql-connector-java,org.apache.commons:commons-csv,45,537,130,0.08,0.35,0.35
com.google.code.gson:gson,javax.servlet:javax.servlet-api,147,666,491,0.22,0.3,0.3
org.apache.thrift:libthrift,org.jsoup:jsoup,8,104,232,0.08,0.03,0.08
org.apache.httpcomponents:httpcore,org.mockito:mockito-core,149,267,916,0.56,0.16,0.56
org.easymock:easymock,org.mockito:mockito-junit-jupiter,6,179,116,0.03,0.05,0.05
org.apache.commons:commons-pool2,org.projectlombok:lombok,30,118,434,0.25,0.07,0.25
com.alibaba:druid,org.apache.maven:maven-core,2,148,193,0.01,0.01,0.01
io.dropwizard.metrics:metrics-core,org.hibernate:hibernate-entitymanager,7,156,108,0.04,0.06,0.06
com.github.ben-manes.caffeine:caffeine,org.apache.avro:avro,22,111,123,0.2,0.18,0.2
org.apache.maven:maven-plugin-api,org.hibernate:hibernate-validator,19,264,148,0.07,0.13,0.13
javax.activation:activation,org.eclipse.jetty:jetty-util,10,107,113,0.09,0.09,0.09
